OverallQual,GrLivArea
9,1828.0
5,894.0
5,964.0
8,1689.0
7,1541.0
7,1221.0
6,1324.0
7,1416.0
4,988.0
6,1218.0
7,1656.0
6,1362.0
6,1839.0
6,1375.0
5,1122.0
5,1432.0
7,1456.0
7,1217.0
5,1040.0
6,1224.0
7,1774.0
5,1367.0
5,1360.0
6,848.0
8,2262.0
4,1220.0
7,1414.0
6,2058.0
6,1198.0
8,1659.0
6,1012.0
7,3082.0
5,1812.0
7,1929.0
5,954.0
9,1838.0
6,1640.0
5,1148.0
5,950.0
8,1911.0
6,1635.0
7,1316.0
6,1442.0
5,1078.0
4,1120.0
8,1419.0
7,1389.0
5,1063.0
9,1792.0
6,1216.0
7,1762.0
7,1959.0
6,1208.0
5,1524.0
4,1154.0
5,1048.0
5,886.0
5,943.0
7,1768.0
9,2599.0
5,912.0
5,882.0
6,1337.0
10,2076.0
8,2531.0
5,1768.0
8,1625.0
6,2144.0
10,2775.0
6,1868.0
7,1525.0
8,1571.0
5,796.0
5,2372.0
7,1472.0
4,960.0
5,1838.0
6,1309.0
9,2643.0
5,1131.0
5,1960.0
5,1144.0
6,1056.0
4,693.0
6,1494.0
8,1646.0
5,864.0
8,1566.0
6,1395.0
4,1208.0
5,1513.0
6,1367.0
5,955.0
3,1077.0
5,1056.0
7,1553.0
7,1614.0
8,2042.0
5,1073.0
5,1285.0
6,2117.0
4,605.0
5,1150.0
6,1456.0
7,999.0
6,1500.0
5,1336.0
6,1593.0
9,2184.0
7,1560.0
5,1644.0
4,630.0
6,1113.0
7,2172.0
4,1346.0
8,2610.0
7,1958.0
8,1468.0
5,1734.0
5,1200.0
7,1550.0
4,2230.0
6,1639.0
5,864.0
7,1621.0
6,987.0
7,2519.0
5,1365.0
8,2290.0
9,2596.0
4,907.0
6,1456.0
5,1190.0
4,858.0
7,2223.0
4,1005.0
7,1895.0
5,1040.0
5,1264.0
7,1761.0
6,1034.0
7,1363.0
6,1689.0
8,2113.0
7,1573.0
9,2364.0
7,2034.0
6,1291.0
5,858.0
6,1258.0
2,438.0
6,1400.0
5,954.0
6,1445.0
6,1072.0
5,1664.0
6,2134.0
8,3194.0
6,1824.0
6,1756.0
5,912.0
6,1509.0
6,1608.0
6,1316.0
5,1015.0
5,1134.0
8,1636.0
7,1320.0
5,2126.0
5,1128.0
5,1306.0
4,1344.0
7,2554.0
5,893.0
6,1933.0
6,1218.0
7,1969.0
8,2090.0
5,1484.0
5,1656.0
6,1224.0
6,2054.0
7,854.0
4,1092.0
5,1268.0
7,1661.0
8,1668.0
6,1493.0
6,932.0
7,1277.0
7,1530.0
5,1344.0
5,860.0
7,1314.0
7,1962.0
7,1490.0
6,848.0
5,672.0
7,2340.0
5,1656.0
7,1479.0
7,1226.0
6,2087.0
6,1158.0
5,1154.0
7,1724.0
6,1658.0
4,1126.0
5,1393.0
8,3447.0
6,987.0
5,1355.0
7,2069.0
7,1501.0
8,1976.0
8,1563.0
7,1111.0
7,1502.0
3,1733.0
9,2728.0
5,1302.0
7,1524.0
4,1588.0
5,1125.0
7,1200.0
6,1640.0
7,2127.0
6,972.0
8,2020.0
5,1144.0
